"ralpes-core","ACE",7334,31,0
"rcbv-core","ACE",5246,30,0
"ralpes-prod-ad1","ACE",3671,14,0
"fcbv-core-1","ACE",3660,6,0
"flyo-vtech","ACE",1822,5,0
"rcbv-prodad1","ACE",1659,22,0
"rbdx-lac-d-1","ACE",981,11,1
"marse1-cr-sr1","ACE",951,17,1
"fwcbv-asait1","ACE",844,8,1
"rcbv-prodag1","ACE",832,20,1
"rlyo-cored","ACE",794,12,1
"rlyo-coreg","ACE",570,9,2
"rcbv-vtechd0","ACE",457,58,2
"fwcbv-vl-1","ACE",437,34,2
"rmdn2-2b-2","ACE",400,40,2
"rqw-cored","ACE",393,34,2
"rlyo-fed-hub-2","ACE",315,5,2
"a8rxlyo001lc7301","ACE",236,4,2
"a8rxcha001mc2601","ACE",177,5,3
"a8rxcha001mc2602","ACE",177,5,3
"ch2-00s-5cc","ACE",171,35,3
"a8rxldf001lc2602","ACE",161,3,3
"a8rxlyo002lc7301","ACE",161,4,3
"a8rxldf001lc2601","ACE",160,6,3
"rbdx-lac-g-1","ACE",154,11,3
"rcbv-spoke-2","ACE",154,9,3
"fwcbv-presta1","ACE",149,51,3
"a8rxcha001lc2601","ACE",144,5,3
"a8rxcha001lc2602","ACE",144,4,3
"rmdn2-2b-1","ACE",133,39,3
"rob14-save-coread","ACE",130,11,3
"rqw-coreg","ACE",120,33,3
"fw-dcn1","ACE",118,3,3
"rlyo-fed-be-1","ACE",115,9,3
"rboul-spoke-1","ACE",110,6,3
"rabv-spoke-2","ACE",101,6,3
"a8rxcaa003lc7301","ACE",96,4,4
"a8rxcaa004lc7301","ACE",96,4,4
"rlyo-spoke-2","ACE",81,6,4
"flyo-fed-mg-rx","ACE",80,26,4
"rren-spoke-2","ACE",75,6,4
"rvnx-spoke-1","ACE",72,8,4
"flyo-fed-be-1","ACE",67,55,4
"rbdx-spoke-2","ACE",64,6,4
"rpar-spoke-1","ACE",63,6,4
"rvnx-spoke-2","ACE",63,8,4
"ralpes-bur-ag3","ACE",60,10,4
"rcbv-spoke-1","ACE",58,9,4
"rabv-spoke-1","ACE",51,6,4
"rlyo-vtechd","ACE",51,13,4
"fwcbv-concord-d","ACE",48,5,4
"udbron-02","ACE",47,30,4
"rbdx-spoke-1","ACE",43,6,4
"rpar-spoke-2","ACE",42,6,4
"rlyo-fed-hub-1","ACE",41,5,4
"rlyo-spoke-1","ACE",41,6,4
"marse1-cr-sr2","ACE",39,17,4
"flyo-fed-mg","ACE",36,19,4
"rren-spoke-1","ACE",32,6,4
"fmar-vpn-gp-1","ACE",31,5,4
"rlyo-prodd","ACE",29,11,4
"rlyo-savd-1","ACE",27,8,4
"ffed-fe-d-1","ACE",24,11,4
"rlyo-prodg","ACE",24,11,4
"rcbv-nagra-mg-d","ACE",23,3,4
"rlyo-savg-1","ACE",23,8,4
"rcbv-aol-vpn-1","ACE",21,5,4
"ralpes-prod-ag1","ACE",18,14,5
"marse1-cr-sr3","ACE",17,8,5
"ralpes-bur-ad3","ACE",17,10,5
"rob14-save-coreag","ACE",17,11,5
"ralpes-sav-1","ACE",16,8,5
"ch2-00s-7cc","ACE",15,4,5
"flyo-fed-preprod","ACE",15,8,5
"flyo-fed-be-pre","ACE",13,4,5
"flyo-fed-fe1","ACE",12,10,5
"rcbv-province","ACE",11,3,5
"asa-root-1","ACE",10,4,5
"flyo-sav-d","ACE",10,6,5
"fwmdn-dmz","ACE",10,6,5
"rob9-sav-cored","ACE",10,6,5
"rbron-cored","ACE",9,5,5
"llyo-fed-prep-fe","ACE",8,29,5
"rlyo-vtechg","ACE",7,14,5
"fabv-spoke-mg","ACE",6,6,5
"fcbv-spoke-be","ACE",6,5,5
"fvnx-spoke-be","ACE",5,4,6
"fwcbv-cpit1","ACE",5,44,6
"fabv-spoke-be","ACE",4,4,6
"fcbv-spoke-mg","ACE",4,4,6
"flyo-psie-int","ACE",4,5,6
"flyo-spoke-mg","ACE",4,4,6
"r33vil-bur-ltp1-1","ACE",4,4,6
"rboul-spoke-2","ACE",4,6,6
"rfed-fe-d","ACE",4,6,6
"fvnx-spoke-mg","ACE",3,3,6
"llyo-fed-prep-me","ACE",3,12,6
"rcbv-accord","ACE",3,2,7
"rcbv-pandore","ACE",3,2,7
"rcbv-sigma","ACE",3,2,7
"rlyo-fed-fe-d","ACE",3,5,7
"fbdx-spoke-be","ACE",2,3,7
"fbdx-spoke-mg","ACE",2,3,7
"fboul-spoke-be","ACE",2,3,7
"fboul-spoke-mg","ACE",2,3,7
"fcbv-sav-ccord-d","ACE",2,3,7
"fdat-adm-d","ACE",2,5,7
"flyo-spoke-be","ACE",2,4,7
"fpar-spoke-be","ACE",2,3,7
"fpar-spoke-mg","ACE",2,3,7
"fren-spoke-mg","ACE",2,3,7
"fwmdn-wifi","ACE",2,3,7
"lalpes-bur-ad3","ACE",2,19,7
"llyo-fed-be-2","ACE",2,31,7
"llyo-fed-me-1","ACE",2,32,7
"llyo-fed-me-2","ACE",2,32,7
"llyo-fed-prep-be","ACE",2,21,7
"rbron-coreg","ACE",2,5,7
"rcbv-inethd1","ACE",2,2,7
"rcorbas","ACE",2,3,7
"rrei-bur","ACE",2,2,7
"ffed-bk-d","ACE",1,21,8
"ffed-mg-d","ACE",1,258,8
"ffed-mg-g","ACE",1,204,8
"flyo-fed-be-2","ACE",1,63,8
"flyo-prodd","ACE",1,2,8
"fwcbv-cpit2","ACE",1,36,8
"fwcbv-presta2","ACE",1,40,8
"llyo-fed-be-1","ACE",1,31,8
"rcbv-constructeur","ACE",1,2,8
"rcbv-trading-europ","ACE",1,3,8
"rcbv-vtechg0","ACE",1,61,8
"rcorbas-fed-1","ACE",1,3,8
"rfed-fe-g","ACE",1,5,8
"rlyo-fed-fe-g","ACE",1,5,8
"rstr-bur","ACE",1,2,8
"rver-bur","ACE",1,2,8
