"Device";"#ospf";"#bgp";"#mac";"#arp"
"slyo-fed-save-5";;;"108";"3"
"marse1-cr-sw9";;;"28";"2"
"slyo-prep-e2-mg-fe";;;"22";"2"
"a8rxcha001mc2602";;"1";"3";"9"
"a8rxcha001mc2601";;"1";"3";"10"
"svnx-pfd2-i1";;;"54";"4"
"slyo-arthius-nfs-fe-1";;;"22";"2"
"slyo-arthius-nfs-fe-2";;;"22";"2"
"rlbm-sav-v72-1";;;"76";"66"
"rlbm-core-v72-1";;;"103";"134"
"slyo-i4-nfs-fe-1";;;"21";"3"
"slyo-h1-me-1";;;"21";"2"
"smdn1-rc-1-2";;;"210";"7"
"smdn1-rc-1-3";;;"210";"7"
"smdn1-rc-1-1";;;"210";"7"
"smdn1-rc-1-4";;;"210";"7"
"scbv-cd0-1vmw";;;"54";"5"
"slyo-fed-me-5";;;"110";"3"
"slyo-fed-me-6";;;"110";"3"
"slyo-fed-me-1";;;"113";"2"
"slyo-fed-me-2";;;"113";"2"
"slyo-9vod-me-1";;;"22";"2"
"fboul-spoke-2";;;;
"fboul-spoke-1";;;"1";"5"
"slyo-i4-mg-fe-1";;;"21";"3"
"slyo-fed-fe-1";;;"114";"2"
"slyo-fed-mg-1";;;"118";"3"
"slyo-fed-fe-2";;;"114";"2"
"slyo-fed-mg-2";;;"118";"3"
"slyo-fed-fe-5";;;"107";"3"
"slyo-fed-fe-6";;;"107";"3"
"spar-pfd2-i1";;;"54";"4"
"slyo-9vod-fe-1";;;"22";"2"
"slyo-fed-mg-5";;;"107";"3"
"slyo-fed-mg-6";;;"107";"3"
"scbv-nagra-pub-d";;;"54";"6"
"pf-siris-1";;;"52";"2"
"scbv-nagra-pub-g";;;"54";"7"
"sqw-wi6";;;"28";"5"
"sw-c0020";;;"28";"3"
"pf-siris-2";;;"52";"2"
"sqw-wi7";;;"28";"4"
"sw-c0021";;;"28";"3"
"sqw-wi8";;;"28";"6"
"smdn2-1a-e2-2";;;"210";"4"
"smdn2-1a-e2-3";;;"210";"4"
"fmar-vpn-gp-1";"1";;"5";"38"
"slyo-prep-e3-save";;;"22";"2"
"smdn2-1a-e2-4";;;"210";"4"
"llyo-fed-be-1";;;"22";"54"
"llyo-fed-be-2";;;"22";"30"
"fmar-vpn-gp-2";"1";;"5";"36"
"slyo-fed-prep-be-mg";;;"122";"3"
"slyo-prodg12-1";;;"54";"5"
"smdn2-1a-e2-1";;;"210";"4"
"sqw-wi3";;;"28";"5"
"fwcbv-concord-g";;;"8";"31"
"sqw-wi2";;;"28";"5"
"fwcbv-concord-d";;;"8";"31"
"salpes-interco";;;"54";"9"
"sqw-wi5";;;"28";"5"
"sqw-wi4";;;"28";"5"
"slyo-prodg12-2";;;"54";"5"
"svlz-bur";;;"29";"7"
"sqw-wi1";;;"28";"4"
"smdn1-01-2-3";;;"158";"7"
"ffed-bk-d";;;"14";"6"
"smdn1-01-2-1";;;"158";"7"
"smdn1-01-2-2";;;"158";"7"
"scbv-pfd1-i1";;;"54";"4"
"llyo-fed-fe-1";;;"33";"1"
"llyo-fed-fe-2";;;"33";"1"
"salpes-bur-sav-e-1";;;"112";"7"
"salpes-bur-sav-e-2";;;"112";"7"
"rlyo-fed-sav-1";;;"118";"4"
"scbv-op-1";;;"52";"6"
"scbv-op-2";;;"52";"6"
"sfed-sup-d";;;"28";"2"
"ffed-bk-g";;;"14";"6"
"rlyo-fed-sav-2";;;"118";"4"
"cvpn-vnx-01";;;;
"scbv-savcd0-2vmw";;;"54";"6"
"s33vil-bur-lts1-1";;;"107";"4"
"smdn2-3b-1";;;"106";"6"
"smdn2-3b-2";;;"106";"6"
"ralpes-core";"1";;"118";"157"
"slbm-prod-z85-1";;;"54";"26"
"scbv-savhd0-1";;;"52";"5"
"scbv-cg0-1";;;"52";"6"
"sabv-spoke-h3-mg-1";;;"21";"4"
"sbea-dsp";;;"13";"2"
"flyo-sav-g";;;"8";"6"
"smdn2-4a-e5-1";;;"210";"4"
"flyo-spoke-2";;;;
"smdn2-4a-e5-2";;;"210";"4"
"smdn2-4a-e5-3";;;"210";"4"
"smdn2-4a-e5-4";;;"210";"4"
"flyo-fed-preprod";;;"8";"204"
"flyo-fed-fe1";;;"10";"35"
"flyo-fed-fe2";;;"10";"35"
"ralpes-sav-3";"1";;"138";"341"
"marse1-cr-sw25-1";;;"54";"4"
"s33vil-bur-lts1-2";;;"107";"4"
"ralpes-sav-4";"1";;"138";"341"
"marse1-cr-sw25-2";;;"54";"4"
"slyo-fed-prep-fe-me-5";;;"57";"2"
"rabv-spoke-1";;;"5";"74"
"ralpes-sav-1";"1";;"138";"341"
"rabv-spoke-2";;;"5";"71"
"ralpes-sav-2";"1";;"138";"341"
"fabv-spoke-mg";;;"6";"156"
"flyo-sav-d";;;"8";"6"
"smar1-bur";;;"26";"2"
"fcbv-spoke-1";;;"1";"10"
"fcbv-spoke-2";;;;
"sfed-sup-mg";;;"28";"2"
"a8rxcaa004lc7301";;"1";"4";"6"
"flyo-spoke-1";;;"1";"5"
"rvnx-spoke-2";;"1";"7";"74"
"slyo-prep-mg-fe-1";;;"22";"2"
"rvnx-spoke-1";;"1";"7";"85"
"sbron-inf-1";;;"106";"7"
"slyo-prep-mg-fe-2";;;"22";"2"
"slyo-c4-prep-nfs-fe-1";;;"22";"2"
"smar-cr111-1-3";;;"213";"3"
"smar-cr111-1-4";;;"213";"3"
"smar-cr111-1-1";;;"213";"3"
"smar-cr111-1-2";;;"213";"3"
"fboul-spoke-be";;;"3";"13"
"spar-spoke-mg";;;"108";"9"
"nr0c0021";"1";;"30";"45"
"slyo-9vod-mg-be-1";;;"22";"2"
"salpes-prod-bg4-1";;;"28";"21"
"nr0c0020";"1";;"29";"43"
"admin-siris";;;"52";"2"
"rlyo-spoke-1";;;"5";"143"
"rlyo-fed-sav-3-2";;;"110";"4"
"rlyo-spoke-2";;;"5";"144"
"rlyo-fed-sav-3-1";;;"110";"4"
"scbv-savfg0-1";;;"52";"5"
"rcbv-vtechd0";;;"107";"840"
"sqo-8-5";;;"262";"8"
"salpes-prod-gd";;;"55";"5"
"sqo-8-2";;;"262";"8"
"sqo-8-1";;;"262";"8"
"sqo-8-4";;;"262";"8"
"sqw-wi-srv";;;"28";"5"
"ssbg-pfd1-i1";;;"54";"3"
"sqo-8-3";;;"262";"8"
"salpes-prod-gg";;;"55";"5"
"slbm-prod-z80-1";;;"54";"19"
"rlyo-fed-hub-2";;;"8";"12"
"rlyo-fed-hub-1";;;"8";"12"
"rlyo-fed-be-1";;;"62";"48"
"rlyo-fed-be-2";;;"63";"31"
"salpes-prod-hd";;;"54";"5"
"rcbv-constructeur";;;"1";"4"
"salpes-prod-hg";;;"54";"5"
"slyo-prep-ag2-nfs-be-1";;;"21";"2"
"slbm-sav-y85-1";;;"55";"32"
"sqo-0-1";;;"262";"5"
"sqo-0-2";;;"262";"5"
"sqo-0-3";;;"262";"5"
"sqo-0-4";;;"262";"5"
"sqo-0-5";;;"262";"5"
"fsbg-spoke-mg";;;"3";"51"
"slyo-prep-ag1-nfs-1";;;"21";"2"
"sabv-spoke-god-rsa";;;"26";"3"
"rbdx-lac-d-3";"1";;"171";"388"
"rbdx-lac-d-2";"1";;"171";"388"
"rbdx-lac-d-1";"1";;"171";"388"
"noc-console2";;;;
"noc-console3";;;;
"noc-console1";;;;
"scbv-sav-omc-2";;;"106";"11"
"fwqo-pixlab";;;"6";"16"
"noc-console6";;;;
"noc-console7";;;;
"noc-console4";;;;
"noc-console5";;;;
"slyo-admin-me-1";;;"22";"2"
"smg-emc";;;"14";"2"
"noc-console8";;;;
"scbv-sav-omc-1";;;"106";"11"
"noc-console9";;;;
"ch2-00s-6cc";;;"36";"145"
"rlyo-savd-1";"1";;"76";"132"
"scbv-bd0-1";;;"52";"8"
"rlyo-savd-2";"1";;"76";"132"
"scbv-bd0-2";;;"52";"8"
"lbalpes-prodad";;;"20";"92"
"lbalpes-prodag";;;"20";"68"
"salpes-prod-f-2";;;"106";"6"
"sabv-spoke-nb5-sw1-me-1";;;"22";"2"
"salpes-prod-f-1";;;"106";"6"
"noc-console15";;;;
"noc-console11";;;;
"noc-console12";;;;
"sabv-spoke-h3-me-1";;;"22";"2"
"noc-console13";;;;
"noc-console14";;;;
"flyo-fed-mg-1";;;"1";"3"
"slyo-h1-nfs-1";;;"21";"2"
"noc-console10";;;;
"fwcbv-pixfil1-1";;;"9";"14"
"sqw-wi-wlc";;;"16";"5"
"fwcbv-pixfil1-2";;;"9";"10"
"flyo-fed-mg-2";;;;
"slyo-spoke-k3-me-1";;;"27";"3"
"rcbv-cetelem";;;"1";"8"
"slyo-spoke-k3-me-2";;;"27";"3"
"smdn2-1b-e2-2";;;"210";"4"
"smdn2-4a-e3-1";;;"210";"4"
"smdn2-1b-e2-1";;;"210";"4"
"smdn2-4a-e3-4";;;"210";"4"
"smdn2-4a-e3-3";;;"210";"4"
"smdn2-4a-e3-2";;;"210";"4"
"sqw-1a-testsdev";;;"52";"4"
"smdn2-1b-e2-3";;;"210";"4"
"svnx-spoke-be-2";;;"115";"5"
"smdn2-1b-e2-4";;;"210";"4"
"svnx-spoke-be-1";;;"115";"5"
"fboul-spoke-mg";;;"3";"57"
"svnx-spoke-o5-me-1";;;"21";"2"
"svnx-spoke-o5-me-2";;;"21";"2"
"a8rxcaa003lc7301";;"1";"4";"7"
"lcbv-nagra-g";;;"2";"10"
"lcbv-nagra-d";;;"2";"10"
"fw-dcn2";;;"11";"4"
"fw-dcn1";;;"11";"10"
"slyo-savf12";;;"55";"8"
"slyo-savf14";;;"56";"7"
"sbron-man-2";;;"28";"3"
"fren-spoke-be";;;"3";"11"
"fwcbv-nagra-1";;;"5";"15"
"fwcbv-nagra-2";;;"5";"15"
"llyo-fed-prep-me";;;"5";"99"
"slyo-prep-mg-be-1";;;"22";"2"
"sbron-man-1";;;"52";"4"
"slyo-prep-mg-be-2";;;"22";"2"
"s9tv-3a01-5";;;"52";"4"
"s9tv-3a01-3";;;"52";"4"
"s9tv-3a01-4";;;"52";"5"
"s9tv-3a01-1";;;"52";"4"
"s9tv-3a01-2";;;"52";"5"
"slyo-arthius-save-be-2";;;"22";"2"
"slyo-arthius-save-be-1";;;"22";"2"
"slyo-9vod-nfs-be-1";;;"22";"2"
"llyo-fed-me-2";;;"24";"49"
"llyo-fed-me-1";;;"24";"79"
"sqo-6-1";;;"314";"7"
"hurons-2";;;"6";"10"
"slyo-h2-save-1";;;"21";"2"
"hurons-1";;;"6";"14"
"smdn1-02-1-1";;;"210";"6"
"smdn1-02-1-2";;;"210";"6"
"smdn1-02-1-3";;;"210";"6"
"smdn1-02-1-4";;;"210";"6"
"salpes-sav-e-2";;;"107";"7"
"rcbv-prodad1";"1";;"155";"830"
"salpes-sav-e-1";;;"107";"7"
"svnx-spoke-nb5-sw2";;;"21";"2"
"fwcbv-pixmvno1-1";;;"6";"8"
"fwcbv-pixmvno1-2";;;"6";"4"
"rlyo-fed-fe-g";;"1";"78";"13"
"fwmdn-dmz";;;"9";"38"
"rlyo-fed-fe-d";;"1";"78";"13"
"sabv-spoke-e7-me-1";;;"22";"2"
"slyo-prep-ag1-me-1";;;"21";"2"
"smdn2-4b-e4-1";;;"210";"6"
"smdn2-4b-e4-2";;;"210";"6"
"smdn2-4b-e4-3";;;"210";"6"
"smdn2-4b-e4-4";;;"210";"6"
"sabv-spoke-e7-me-2";;;"21";"3"
"lalpes-bur-ad3";;;"13";"1"
"slyo-prep-e2-nfs-fe";;;"22";"3"
"rcbv-spoke-1";;"1";"8";"126"
"rcbv-spoke-2";;"1";"8";"115"
"slyo-admin-mg-1";;;"22";"2"
"fbdx-spoke-be";;;"3";"15"
"marse1-cr-sw22";;;"55";"3"
"marse1-cr-sw23";;;"54";"3"
"rcbv-accord";;;"1";"3"
"fabv-spoke-be";;;"4";"75"
"marse1-cr-sw24";;;"53";"3"
"slyo-c4-prep-me-1";;;"22";"2"
"scbv-spoke-t17-be-2";;;"21";"2"
"marse1-cr-ssw2";;;"31";"8"
"scbv-spoke-t17-be-1";;;"21";"2"
"marse1-cr-ssw1";;;"31";"11"
"scbv-spoke-t17-mg-be-1";;;"21";"2"
"scbv-gg0-1";;;"52";"7"
"scbv-spoke-t17-mg-be-2";;;"21";"2"
"fcbv-core-2";"1";;"6";"17"
"fcbv-spoke-be";;;"5";"98"
"rcbv-sigma";;;"1";"4"
"flyo-spoke-be";;;"4";"114"
"salpes-prod-e-2";;;"158";"4"
"salpes-prod-e-1";;;"158";"4"
"sbdx-spoke-mg";;;"106";"6"
"scbv-fg0-1";;;"52";"7"
"salpes-bur-4-ed3-2";;;"28";"4"
"salpes-bur-4-ed3-1";;;"28";"4"
"a8rxldf001lc2601";;"1";"6";"18"
"slyo-prep-ag2-save-1";;;"21";"2"
"a8rxldf001lc2602";;"1";"5";"11"
"llyo-fed-prep-fe";;;"20";"30"
"lalpes-bur-ag3";;;"13";"48"
"scbv-editeurbg";;;"28";"4"
"slyo-spoke-k0-me-2";;;"22";"2"
"slyo-spoke-k0-me-1";;;"22";"2"
"flbm-ctxt-admin";;;;
"scbv-editeurbd";;;"28";"4"
"slyo-spoke-k3-mg-2";;;"27";"3"
"slyo-spoke-k3-mg-1";;;"27";"3"
"slyo-fed-fe-nfs-3-2";;;"115";"3"
"smdn1-03-1-3";;;"262";"6"
"smdn1-03-1-2";;;"262";"6"
"svnx-spoke-n5-mg-2";;;"21";"6"
"smdn1-03-1-5";;;"262";"6"
"slyo-fed-fe-nfs-3-1";;;"115";"3"
"smdn1-03-1-4";;;"262";"6"
"smdn1-03-1-1";;;"262";"6"
"svnx-spoke-n5-mg-1";;;"21";"4"
"rcbv-prodag1";"1";;"154";"825"
"fwcbv-presta1";;;"11";"30"
"fwcbv-presta2";;;"11";"21"
"rcbv-vtechg0";;;"111";"420"
"slyo-prep-e2-fe";;;"22";"2"
"slyo-prep-e3-mg-be";;;"22";"2"
"slyo-arthius-be-2";;;"22";"2"
"slyo-arthius-be-1";;;"22";"2"
"lpub-fe-e1";;;"2";"10"
"lpub-fe-e2";;;"2";"12"
"svlz-stc1";;;"53";"4"
"swqo-lab";;;"52";"4"
"ldmz-fe-e2";;;"16";"61"
"ldmz-fe-e1";;;"16";"21"
"s9tv-bk-d2";;;"52";"3"
"s9tv-bk-d1";;;"52";"3"
"fren-spoke-1";;;"1";"5"
"fren-spoke-2";;;;
"scbv-cd0-2vmw";;;"54";"7"
"fbdx-spoke-mg";;;"3";"44"
"fvnx-spoke-2";;;;
"sbron-exp-1";;;"52";"4"
"fvnx-spoke-1";;;"1";"7"
"llyo-fed-prep-be";;;"18";"27"
"rcorbas";;;"108";"32"
"slyo-omcadm2";;;"54";"9"
"slyo-omcadm1";;;"57";"16"
"sdmz-be-nfs";;;"54";"3"
"flyo-fed-mg-rx";;;"28";"218"
"scbv-savfd0-1";;;"52";"5"
"ffed-fe-d-1";;;"11";"41"
"salpes-sav-g-1";;;"107";"7"
"salpes-sav-g-2";;;"107";"7"
"svnx-spoke-mg-2";;;"114";"7"
"flbm-ctxt-pix";;;"12";"1"
"fbdx-spoke-1";;;"1";"6"
"scbv-savop-1";;;"54";"5"
"scbv-savop-2";;;"54";"5"
"fbdx-spoke-2";;;;
"sabv-pfd1-i1";;;"54";"3"
"sdmz-fe-e";;;"106";"3"
"sqo-4-1";;;"314";"8"
"sfed-mg-g";;;"57";"4"
"sbron-trb";;;"54";"5"
"sfed-mg-d";;;"57";"4"
"slyo-h1-mg-fe-1";;;"21";"2"
"sfed-sync-d";;;"27";"2"
"slyo-prep-e3-nfs-be";;;"22";"2"
"smdn1-rc-dev";;;"26";"3"
"svnx-spoke-mg-1";;;"114";"7"
"snic-bur";;;"27";"2"
"scbv-savag1-1";;;"52";"5"
"sdmz-bk-e1";;;"52";"3"
"fpar-spoke-2";;;;
"salpes-bur-1-ed2-2";;;"28";"4"
"fpar-spoke-1";;;"1";"4"
"salpes-bur-1-ed2-1";;;"28";"4"
"sdmz-bk-e2";;;"52";"3"
"sabv-pfd2-i1";;;"54";"4"
"scbv-savbg0-1";;;"52";"5"
"fwmdn-wifi";;;"10";"4"
"scbv-savcg0-1";;;"52";"5"
"slyo-c4-prep-mg-fe-1";;;"22";"2"
"slyo-fed-mg-rx-1";;;"110";"10"
"fcbv-core-1";"1";;"6";"17"
"slbm-prod-y85-1";;;"55";"33"
"sabv-spoke-nb5-sw2";;;"21";"2"
"s9tv-fe";;;"107";"3"
"sabv-spoke-nb5-sw4";;;"22";"2"
"slyo-fed-mg-rx-6";;;"107";"4"
"slyo-fed-mg-rx-5";;;"107";"4"
"slyo-fed-mg-rx-2";;;"110";"10"
"slyo-spoke-k0-mg-2";;;"22";"2"
"sabv-spoke-mg-1";;;"109";"26"
"sabv-spoke-mg-2";;;"109";"26"
"slyo-spoke-k0-mg-1";;;"22";"2"
"sabv-spoke-mg-3";;;"57";"3"
"sabv-spoke-mg-4";;;"57";"3"
"rlyo-prodd";"1";;"115";"101"
"scbv-spoke-mg-2";;;"173";"11"
"rlyo-prodg";"1";;"115";"37"
"scbv-spoke-mg-1";;;"173";"11"
"slyo-fed-fe-nfs-1";;;"126";"2"
"slyo-i4-nfs-be-1";;;"21";"3"
"scbv-fd0-1";;;"52";"7"
"slyo-fed-fe-nfs-5";;;"108";"3"
"rfed-bk-d";;;"16";"2"
"slyo-fed-fe-nfs-2";;;"126";"2"
"slyo-h2-mg-be-1";;;"21";"2"
"rfed-bk-g";;;"15";"6"
"scbv-sup-sav";;;"54";"5"
"slyo-fed-fe-nfs-6";;;"108";"3"
"slyo-arthius-mg-fe-1";;;"22";"2"
"slyo-arthius-mg-fe-2";;;"22";"2"
"sbou2-pfd1-i1";;;"54";"5"
"sbron-nagra";;;"26";"3"
"slyo-admin-nfs-fe-1";;;"22";"2"
"slyo-omcsav2";;;"54";"7"
"slyo-9vod-nfs-fe-1";;;"22";"2"
"slyo-omcsav1";;;"54";"10"
"fsbg-spoke-be";;;"3";"15"
"slyo-admin-fe-1";;;"22";"2"
"flyo-fed-be-1";;;"23";"23"
"flyo-fed-be-2";;;"23";"13"
"scbv-cd0-1";;;"52";"6"
"sbron-dsi-2";;;"158";"10"
"sbron-dsi-3";;;"158";"10"
"srei-bur";;;"13";"2"
"sbron-dsi-1";;;"158";"10"
"slyo-fed-mg-3-1";;;"120";"4"
"rlyo-bur";;;"2";"13"
"slyo-fed-mg-3-2";;;"120";"4"
"slyo-i1-fe-1";;;"22";"2"
"fw-ire1";;;"8";"10"
"fw-ire2";;;"8";"5"
"sbron-witbe";;;"26";"4"
"rrei-bur";;;"2";"11"
"slyo-prep-save-1";;;"22";"2"
"flyo-vtech";"1";;"5";"12"
"slyo-prep-save-2";;;"22";"2"
"sbdx-spoke-be";;;"106";"6"
